"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,,,,,,,,,,,,,
Rank,Full Journal Title,JCR Abbreviated Title,ISSN,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Average Journal Impact Factor Percentile,Normalized Eigenfactor
1,CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,0007-9235,"32,410",223.679,223.161,177.323,52.560,25,3.4,4.9,0.077430,46.173,72.00,99.783,9.21157
2,Nature Reviews Materials,NAT REV MATER,2058-8437,"7,901",74.449,74.061,74.459,12.617,47,2.1,5.2,0.033870,26.175,6.38,99.649,4.02953
3,NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,0028-4793,"344,581",70.670,69.988,70.331,18.586,321,8.6,5.0,0.687120,30.627,85.98,99.688,81.74053
4,LANCET,LANCET,0140-6736,"247,292",59.102,57.829,54.664,14.902,264,8.8,4.5,0.428000,21.680,72.35,99.063,50.91505
5,NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,1474-1776,"32,266",57.618,56.803,58.884,13.306,36,7.9,5.5,0.054880,20.886,19.44,99.752,6.52898
6,CHEMICAL REVIEWS,CHEM REV,0009-2665,"188,635",54.301,53.874,56.124,11.887,222,7.7,8.2,0.267140,15.695,0.00,99.709,31.77999
7,Nature Energy,NAT ENERGY,2058-7546,"11,113",54.000,53.138,54.026,8.027,111,2.1,4.1,0.040630,16.280,81.98,99.501,4.83334
8,NATURE REVIEWS CANCER,NAT REV CANCER,1474-175X,"50,529",51.848,51.429,50.502,10.942,52,9.0,6.3,0.074060,19.543,0.00,99.348,8.81081
9,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,0098-7484,"156,350",51.273,50.135,46.312,11.571,212,10.0,5.3,0.300870,21.354,69.81,98.438,35.79217
10,NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,1474-1733,"41,499",44.019,43.620,51.347,12.481,52,7.9,6.0,0.080190,20.869,17.31,99.684,9.53984
11,NATURE REVIEWS GENETICS,NAT REV GENET,1471-0056,"36,697",43.704,43.184,42.812,7.980,50,7.9,5.2,0.079240,21.742,6.00,99.713,9.42667
12,NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,1471-0072,"45,869",43.351,42.901,49.631,17.674,46,8.7,5.9,0.091410,23.627,0.00,99.741,10.87467
13,NATURE,NATURE,0028-0836,"745,692",43.070,42.478,45.819,9.435,904,10.1,6.1,1.284860,22.404,96.57,99.275,152.84795
14,SCIENCE,SCIENCE,0036-8075,"680,994",41.063,40.602,43.655,9.816,799,10.1,5.8,1.069980,20.012,92.74,97.826,127.28590
15,CHEMICAL SOCIETY REVIEWS,CHEM SOC REV,0306-0012,"139,751",40.443,39.900,43.430,7.535,299,5.6,5.6,0.247070,10.815,0.00,99.128,29.39195
16,NATURE MATERIALS,NAT MATER,1476-1122,"97,792",38.887,38.552,46.863,9.616,146,7.2,5.9,0.177350,16.602,96.58,99.434,21.09850
17,REVIEWS OF MODERN PHYSICS,REV MOD PHYS,0034-6861,"50,151",38.296,38.049,42.111,14.415,41,10.1,9.1,0.051770,19.803,100.00,99.383,6.15940
18,CELL,CELL,0092-8674,"242,829",36.216,35.560,36.430,7.178,454,9.1,5.9,0.571870,20.380,92.73,99.528,68.03020
19,LANCET ONCOLOGY,LANCET ONCOL,1470-2045,"48,822",35.386,34.688,33.831,8.327,159,4.8,4.7,0.147020,13.254,79.87,98.913,17.48970
20,NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,1740-1526,"29,637",34.648,34.361,34.420,7.732,56,7.7,6.2,0.054580,13.465,19.64,99.624,6.49377
21,Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,1759-4774,"9,626",34.106,33.734,25.506,13.286,42,4.0,4.8,0.031910,9.786,14.29,98.478,3.79694
